Title,Author,Genre,SubGenre,Height,Publisher,Path
Fundamentals of Wavelets,"Goswami, Jaideva",tech,signal_processing,228,Wiley,https://m.media-amazon.com/images/I/517bE6-WubL.jpg
Data Smart,"Foreman, John",tech,data_science,235,Wiley,https://images-na.ssl-images-amazon.com/images/I/81jwM5Wq8zL.jpg
God Created the Integers,"Hawking, Stephen",tech,mathematics,197,Penguin,https://sslimages.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/8D0777CCA4C44B2C8D32EACDC67D481B/204720783_9999_8D0777CCA4C44B2C8D32EACDC67D481B.jpg
Superfreakonomics,"Dubner, Stephen",science,economics,179,HarperCollins,https://images-na.ssl-images-amazon.com/images/I/81s8BNTQWUL.jpg
Orientalism,"Said, Edward",nonfiction,history,197,Penguin,"https://images-na.ssl-images-amazon.com/images/I/51WIwl1eiDL._SX324_BO1,204,203,200_.jpg"
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",tech,data_science,230,Springer,https://media.springernature.com/w306/springer-static/cover-hires/book/978-1-4757-2440-0
Integration of the Indian States,"Menon, V P",nonfiction,history,217,Orient Blackswan,"https://images-na.ssl-images-amazon.com/images/I/51MsvbcdNjL._SX314_BO1,204,203,200_.jpg"
"Drunkard's Walk, The","Mlodinow, Leonard",science,mathematics,197,Penguin,https://images-na.ssl-images-amazon.com/images/I/91Qt1C+4GuL.jpg
Image Processing & Mathematical Morphology,"Shih, Frank",tech,signal_processing,241,CRC,https://n4.sdlcdn.com/imgs/b/k/x/Image-Processing-and-Mathematical-Morphology-SDL556922133-1-1948a.jpg
How to Think Like Sherlock Holmes,"Konnikova, Maria",nonfiction,psychology,240,Penguin,https://images-na.ssl-images-amazon.com/images/I/71RIUSbEPbL.jpg
Data Scientists at Work,Sebastian Gutierrez,tech,data_science,230,Apress,https://images-na.ssl-images-amazon.com/images/I/61C1FO6hY+L.jpg
Slaughterhouse Five,"Vonnegut, Kurt",fiction,classic,198,Random House,https://images-na.ssl-images-amazon.com/images/I/71jAnvxRjuL.jpg
Birth of a Theorem,"Villani, Cedric",science,mathematics,234,Bodley Head,"https://images-na.ssl-images-amazon.com/images/I/41Xkv0BzDPL._SX331_BO1,204,203,200_.jpg"
Structure & Interpretation of Computer Programs,"Sussman, Gerald",tech,computer_science,240,MIT Press,"https://images-na.ssl-images-amazon.com/images/I/4186AAibrkL._SX343_BO1,204,203,200_.jpg"
"Age of Wrath, The","Eraly, Abraham",nonfiction,history,238,Penguin,https://images-na.ssl-images-amazon.com/images/I/81EzV7KR2OL.jpg
"Trial, The","Kafka, Frank",fiction,classic,198,Random House,https://m.media-amazon.com/images/I/51px8VdiH6L.jpg
